x,result
0,000000,1,000004
0,500000,-2,419305
1,500000,-0,438186
2,000000,-1,579044
2,500000,-2,938595
3,000000,-4,357221
3,500000,-5,772590
4,000000,-7,158559
4,500000,-8,502489
5,000000,-9,804439
